Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,TotalSlope,NightSki,TotalLifts,LiftCapacity
Lauchernalp-Lötschental,Switzerland,3111,1419,48,55,No,6,6800
Grossglockner Heiligenblut,Austria,2989,1301,44,55,No,13,12500
Brandnertal-Brand-​Bürserberg,Austria,2000,904,46,55,Yes,15,18963
Alpe du Grand-Serre-La Morte,France,2184,1367,27,55,No,15,13486
Les Angles,France,2376,1600,38,55,Yes,20,21787
Kopaonik,Serbia,2017,1057,30,55,Yes,27,35052
Aussois,France,2750,1500,29,55,No,8,9228
First-Grindelwald,Switzerland,2501,1050,55,53,No,9,12720
Sörenberg-Rothorn-​Dorf,Switzerland,2350,1110,44,53,Yes,17,20930
Riserva Bianca-Limone Piemonte,Italy,2060,1046,34,52,No,17,20655
Gitschberg Jochtal,Italy,1354,772,46,51,No,24,23617
Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2970,796,55,51,No,16,13852
Pila,Italy,1540,570,42,50,No,17,22154
Brigels-​Waltensburg-​Andiast,Switzerland,2418,1110,49,50,Yes,13,10030
Aprica,Italy,2270,1162,38,50,No,16,13965
Bormio-Cima Bianca,Italy,3012,1225,40,50,Yes,15,17630
Sedrun-Oberalp,Switzerland,2300,1500,53,50,No,12,12100
Grosseck-​Speiereck-Mauterndorf-​St. Michael,Austria,2400,1095,41,50,Yes,12,14286
Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610,923,24,50,No,33,29480
Pragelato,Italy,2700,1335,0,50,No,5,3660
Porté Puymorens,France,2471,1600,30,50,No,9,7380
Mythenregion,Switzerland,1070,573,39,50,No,15,12592
Candanchú,Spain,2236,1514,41,50,No,25,19650
Zugspitze,Germany,2000,700,45,20,No,10,13150
Lindvallen-​Högfjället-Sälen-,Sweden,887,579,41,42,Yes,53,50505
Jasná Nízke Tatry-Chopok,Slovakia,2004,943,39,44,Yes,32,35225
Tandådalen-​Hundfjället-Sälen-,Sweden,872,572,41,45,Yes,46,42636
Sheregesh-Kemerovo,Siberia (Russia),1270,670,0,0,No,12,19919
Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Southern Russia,949,547,32,20,Yes,18,27874
Steinplatte-​Winklmoosalm-Waidring-​Reit im Winkl,Austria,1860,740,46,42,No,14,31940
Rigi,Switzerland,1315,439,44,9,No,7,6500
Métabief,France,1420,1000,26,40,No,28,24745
Latemar-Obereggen-​Pampeago-​Predazzo,Italy,1540,1050,47,48,Yes,22,36540
Mariborsko Pohorje-Maribor,Slovenia,1327,325,31,41,Yes,22,23436
Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966,1240,29,45,No,24,26205
Espace Dôle-La Dôle-​Les Tuffes,France,1678,1137,27,28,No,21,19380
Kreischberg,Austria,2118,868,44,42,No,14,18808
Garmisch-Classic-Garmisch-Partenkirchen,Germany,2050,732,43,40,No,19,21090
Aiguille du Midi-Chamonix-,France,3842,1035,60,0,No,5,4820
Carezza Ski,Italy,2337,1200,41,40,No,20,19200
Pizol-Bad Ragaz-​Wangs,Switzerland,510,490,51,43,Yes,11,12786
SuperBesse-Puy de Sancy,France,1850,1300,32,43,Yes,22,21245
Stöten,Sweden,830,443,41,32,No,19,19250
Fellhorn-​Kanzelwand-Oberstdorf-​Riezlern,Austria,1967,920,45,34,Yes,17,22076
Idre Fjäll,Sweden,890,588,40,41,Yes,25,24760
Großglockner Resort Kals-Matrei,Austria,2422,933,47,37,No,17,18276
Pamporovo,Bulgaria,1926,1620,28,29,Yes,13,14266
Abetone-​Val di Luce,Italy,1892,1240,30,44,No,17,24056
Gerlitzen,Austria,1000,520,45,41,No,18,22220
Paganella-Andalo,Italy,2125,1030,40,33,Yes,18,23996
Melchsee-Frutt-Kerns-,Switzerland,2255,1080,44,36,Yes,11,14150
Vall de Núria,Spain,1964,912,30,7,No,6,4840
Arêches-Beaufort-,France,2300,1050,29,50,No,14,14462
Špindlerův Mlýn,Czech Republic,1235,702,34,24,Yes,23,21638
Les Mosses-​La Lécherette,Switzerland,1870,1445,31,40,No,14,10540
Cimone-Montecreto-​Sestola-​Le Polle,Italy,1976,900,35,50,No,20,23746
Luchon Superbagnères,France,1440,635,34,32,No,13,15965
Lélex-​Crozet,France,900,640,28,28,No,19,16750
Alpika Service,Southern Russia,2228,535,0,25,No,9,18120
Sinaia,Romania,880,834,32,20,No,9,9864
Gourette-Eaux Bonnes-,France,2450,1350,38,35,No,12,19660
Rauriser Hochalmbahnen-Rauris,Austria,2175,940,43,32,No,10,11927
Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1850,1035,46,50,No,14,16650
Meran 2000,Italy,1609,648,39,40,No,10,9478
Nätschen-Andermatt,Switzerland,2344,1444,44,21,No,7,13600
Albiez-Montrond,France,2200,1500,25,35,No,13,10432
Tarvisio-Monte Lussari,Italy,1752,754,35,25,Yes,15,17354
Mount Parnassos-Fterolakka-​Kellaria,Greece,2300,1600,30,36,No,17,20052
Moelltal Glacier-Mölltaler Gletscher-,Austria,2108,1222,47,17,No,9,15610
Wendelstein-Brannenburg-​Osterhofen,Germany,1723,791,35,11,No,4,3250
Glenshee,United Kingdom,900,650,33,36,No,21,16255
Sulden am Ortler-Solda all'Ortles-,Italy,3250,1900,41,44,Yes,13,15418
Poiana Brașov,Romania,1799,1021,32,13,Yes,10,11038
Hinterstoder-Höss,Austria,2000,600,44,40,No,19,18464
St. Jean Montclar,France,2500,1350,28,50,No,14,13320
Port del Comte,Spain,2310,1745,33,40,No,16,13750
Tänndalen,Sweden,1038,743,41,38,No,17,19270
Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1448,888,35,26,No,14,17624
Pitztal Glacier-Pitztaler Gletscher-,Austria,2685,1740,48,20,No,7,10935
Tauplitz-Bad Mitterndorf,Austria,896,812,41,42,No,19,18525
Hochoetz-Oetz,Austria,1410,820,37,36,No,15,17422
Rosshütte-Seefeld,Austria,2064,1230,44,20,Yes,13,12363
Malbun,Liechtenstein,2000,1600,42,23,No,9,8800
Špičák,Czech Republic,1202,854,23,8,Yes,12,7390
Riesneralm-Donnersbachwald,Austria,1820,950,40,30,No,8,6880
Berwang-​Bichlbach-​Rinnen,Austria,1743,1067,42,36,Yes,15,15623
Glungezer-Tulfes,Austria,2304,950,30,23,No,8,7116
Fanningberg,Austria,2115,1497,41,24,No,6,7162
Turracher Höhe,Austria,2205,1400,45,42,Yes,18,18268
Indoor ski area Snow Arena-Druskininkai,Lithuania,163,97,29,1,Yes,5,2800
Niedere-Andelsbuch-​Bezau,Austria,1715,655,31,10,No,8,6043
Wurzeralm-Spital am Pyhrn,Austria,1870,810,41,22,No,8,9048
Präbichl-Vordernberg,Austria,1608,1100,37,20,No,6,6624
Pfelders-Moos in Passeier-,Italy,2502,1601,33,18,Yes,6,4300
Mitterdorf-Almberg-– Mitterfirmiansreut,Germany,1139,841,23,6,Yes,10,6266
Lavarone,Italy,1650,1150,36,27,No,15,12040
Geißkopf-Bischofsmais,Germany,1116,835,24,8,Yes,9,6950
Donovaly-Park Snow-,Slovakia,1361,914,26,11,Yes,25,13620
Indoor ski area Snow Dome Bispingen,Germany,122,90,37,0,Yes,3,3710
Sudelfeld-Bayrischzell,Germany,1563,850,33,32,No,15,17477
Grüntenlifte-Kranzegg-Rettenberg-,Germany,1700,900,31,16,No,9,7420
Grebenzen-St. Lambrecht,Austria,1870,1010,34,12,No,7,6790
Kirchdorf,Austria,780,640,30,5,No,4,3570
Nebelhorn-Oberstdorf,Germany,2224,828,44,11,No,8,5990
Lachtal,Austria,2222,1600,41,25,No,10,10620
Ramsau am Dachstein-Rittisberg,Austria,1636,1035,36,25,No,15,10815
Eibenstock,Germany,745,650,18,1,Yes,3,1980
Bürchen-​Törbel-Moosalp,Switzerland,2550,1480,39,25,Yes,9,7470
Guzet,France,2100,1100,31,40,No,15,11130
Schetteregg-Egg,Austria,1325,1070,32,10,No,8,6642
Fichtelberg-Oberwiesenthal,Germany,1215,911,26,15,Yes,9,7384
Bellwald,Switzerland,1600,1204,45,36,No,6,4620
Dry slopes Dayz Søhøjlandets Skicenter,Denmark,100,80,36,0,No,0,0
Indoor ski area Skidome Denmark – Randers (planned),Denmark,120,10,0,3,No,0,0
Dry slopes Indoorski – Rødovre,Denmark,53,50,0,0,No,0,0
Dry slopes Ski Arena – Aarhus,Denmark,23,20,0,0,No,0,0
Copenhagen (planned),Denmark,0,0,0,0,No,0,0
Østerlars (Bornholm),Denmark,110,72,18,0,No,0,1220
Hoch Hylkedal – Kolding,Denmark,45,20,15,0,No,0,600
Klewenalp-​Stockhütte-Beckenried-​Emmetten,Switzerland,1200,436,45,40,No,14,13394
