song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
Tears,2112 (40 Anniversary),5,21,0.393,0.125,-19.002,0,0.00134,0.0535,80.323
Something For Nothing,2112 (40 Anniversary),6,24,0.378,0.55,-10.756,1,0.0,0.681,141.291
Solar Federation,2112 (40 Anniversary),1,0,0.701,0.268,-16.918,0,0.0,0.92,109.004
Overture,2112 (40 Anniversary),2,17,0.306,0.683,-10.453,1,0.696,0.503,138.253
A Passage To Bangkok,2112 (40 Anniversary),3,15,0.415,0.93,-7.091,1,3.27e-05,0.48,101.595
The Twilight Zone,2112 (40 Anniversary),4,14,0.612,0.369,-13.214,0,6.12e-05,0.53,114.071
Tears,2112 (40 Anniversary),5,15,0.231,0.333,-10.48,0,0.0304,0.0638,159.869
Something For Nothing,2112 (40 Anniversary),6,13,0.551,0.511,-10.843,0,0.0,0.471,126.067
2112 - Live,2112 (40 Anniversary),7,18,0.286,0.841,-9.668,1,0.0355,0.266,136.688
Something For Nothing - Live,2112 (40 Anniversary),8,15,0.325,0.807,-12.463,1,0.00199,0.43,142.847
The Twilight Zone - Live,2112 (40 Anniversary),9,13,0.185,0.582,-14.276,1,0.886,0.339,105.898
Overture - Live,2112 (40 Anniversary),10,13,0.199,0.862,-9.973,0,0.636,0.319,135.627
The Temples Of Syrinx - Live,2112 (40 Anniversary),11,14,0.27,0.944,-8.316,1,3.35e-05,0.368,133.257
A Passage To Bangkok - Live,2112 (40 Anniversary),12,15,0.281,0.908,-8.604,0,0.0255,0.372,100.075
2112 1976 Radio Ad,2112 (40 Anniversary),13,13,0.427,0.665,-10.711,1,6.92e-05,0.838,124.473
The Anarchist - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",1,19,0.24,0.932,-5.763,0,0.0652,0.386,141.626
Headlong Flight - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",2,18,0.319,0.941,-6.541,0,0.0073,0.287,90.646
Far Cry - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",3,18,0.323,0.922,-6.124,1,0.00913,0.582,126.258
The Main Monkey Business - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",4,17,0.191,0.925,-6.118,1,0.742,0.606,165.537
How It Is - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",5,16,0.274,0.918,-6.267,1,0.00338,0.442,142.538
Animate - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",6,18,0.32,0.903,-5.922,1,0.298,0.387,115.783
Roll The Bones - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",7,19,0.418,0.907,-6.471,1,0.0701,0.582,111.2
Between The Wheels - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",8,17,0.31,0.917,-5.73,1,0.00585,0.311,142.258
Losing It - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",9,18,0.255,0.691,-6.8,0,0.0328,0.332,126.767
Subdivisions - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",10,20,0.291,0.901,-5.277,0,0.0758,0.366,136.171
Tom Sawyer - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",11,25,0.333,0.879,-6.929,1,0.0041,0.357,86.073
YYZ - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",12,19,0.242,0.948,-8.182,0,0.677,0.344,142.447
The Spirit Of Radio - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",13,19,0.183,0.964,-4.412,1,0.00582,0.37,137.859
Natural Science - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",14,17,0.176,0.834,-5.934,0,0.0102,0.295,81.705
Jacob's Ladder - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",15,18,0.252,0.739,-7.458,1,0.312,0.107,120.421
Hemispheres: Prelude - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",16,16,0.249,0.851,-6.742,1,0.0142,0.422,133.007
Cygnus X-1 / The Story So Far - Medley / Drum Solo / Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",17,17,0.305,0.896,-9.429,0,0.741,0.125,155.012
Closer To The Heart - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",18,17,0.251,0.829,-6.405,1,0.000175,0.61,141.322
Xanadu - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",19,13,0.192,0.768,-6.2,1,0.0699,0.123,126.314
2112 - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",20,12,0.232,0.896,-6.349,1,0.0283,0.366,133.983
Lakeside Park / Anthem - Medley / Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",21,14,0.204,0.901,-5.623,1,0.0031,0.501,135.121
What You're Doing / Working Man - Medley / Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",22,14,0.163,0.882,-6.064,1,9.88e-05,0.411,88.033
One Little Victory - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",23,14,0.328,0.897,-7.4,1,0.0135,0.592,130.672
