song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
Time Stand Still,Hold Your Fire,2,52,0.529,0.937,-7.832,1,0.0302,0.611,138.292
Open Secrets,Hold Your Fire,3,32,0.538,0.894,-7.6,0,0.0106,0.495,141.197
Second Nature,Hold Your Fire,4,30,0.62,0.783,-7.926,1,0.0164,0.302,120.054
Prime Mover,Hold Your Fire,5,33,0.568,0.88,-7.938,1,0.00265,0.626,128.221
Lock And Key,Hold Your Fire,6,31,0.538,0.9,-6.972,0,0.065,0.521,134.26
Mission,Hold Your Fire,7,33,0.493,0.856,-7.956,1,0.00151,0.337,140.13
Turn The Page,Hold Your Fire,8,32,0.441,0.927,-8.508,1,0.0139,0.538,160.048
Tai Shan,Hold Your Fire,9,27,0.46,0.647,-9.704,1,0.107,0.155,130.238
High Water,Hold Your Fire,10,27,0.603,0.844,-8.164,1,0.211,0.546,120.028
The Big Money,Power Windows,1,41,0.462,0.96,-5.966,1,0.0357,0.454,145.475
Grand Designs,Power Windows,2,34,0.505,0.973,-5.656,1,0.0134,0.398,142.235
Manhattan Project,Power Windows,3,40,0.412,0.949,-6.378,1,0.0355,0.192,161.537
Marathon,Power Windows,4,40,0.441,0.937,-6.361,1,0.0203,0.471,156.559
Territories,Power Windows,5,32,0.571,0.835,-7.206,0,0.137,0.375,126.234
Middletown Dreams,Power Windows,6,34,0.55,0.89,-6.977,0,8.49e-05,0.532,139.448
Emotion Detector,Power Windows,7,32,0.403,0.913,-6.441,0,0.0422,0.498,159.5
Mystic Rhythms,Power Windows,8,36,0.592,0.863,-7.093,0,0.0336,0.472,120.223
Distant Early Warning,Grace Under Pressure,1,45,0.499,0.878,-6.944,1,0.00163,0.844,146.305
Afterimage,Grace Under Pressure,2,39,0.453,0.832,-7.642,1,0.0598,0.537,151.97
Red Sector A,Grace Under Pressure,3,43,0.621,0.814,-8.132,0,0.000669,0.505,114.61
The Enemy Within,Grace Under Pressure,4,38,0.582,0.928,-8.518,0,0.000419,0.652,142.859
The Body Electric,Grace Under Pressure,5,33,0.58,0.923,-7.419,0,0.000678,0.695,139.51
Kid Gloves,Grace Under Pressure,6,35,0.418,0.956,-6.857,1,0.04,0.681,181.707
Red Lenses,Grace Under Pressure,7,30,0.572,0.853,-8.593,1,0.16,0.592,123.801
Between The Wheels,Grace Under Pressure,8,34,0.455,0.884,-6.749,0,0.0187,0.359,144.53
Subdivisions,Signals,1,55,0.513,0.841,-9.272,0,0.0425,0.457,133.266
The Analog Kid,Signals,2,44,0.339,0.94,-8.034,1,0.525,0.465,190.613
Chemistry,Signals,3,36,0.596,0.81,-9.09,1,0.125,0.57,126.317
Digital Man,Signals,4,40,0.466,0.877,-9.478,0,0.00713,0.764,146.21
The Weapon,Signals,5,35,0.552,0.803,-9.89,1,0.000323,0.519,111.74
New World Man,Signals,6,46,0.522,0.812,-9.651,1,0.182,0.864,157.912
Losing It,Signals,7,40,0.474,0.645,-10.276,0,0.0299,0.321,126.578
Countdown,Signals,8,35,0.514,0.895,-8.8,1,0.00531,0.328,131.755
The Spirit Of Radio - Live In Canada / 1980,Exit ... Stage Left,1,23,0.332,0.906,-10.132,1,0.0136,0.527,135.372
Red Barchetta - Live In Canada / 1980,Exit ... Stage Left,2,22,0.345,0.902,-8.736,1,0.000596,0.254,142.312
YYZ - Live In Canada / 1980,Exit ... Stage Left,3,25,0.349,0.914,-11.98,0,0.83,0.26,146.152
A Passage To Bangkok - Live In The UK / 1980,Exit ... Stage Left,4,21,0.301,0.871,-8.483,1,0.000544,0.474,99.872
Closer To The Heart - Live In The UK / 1980,Exit ... Stage Left,5,23,0.266,0.842,-9.286,1,0.341,0.558,139.378
"Beneath, Between & Behind - LIve In The UK / 1980",Exit ... Stage Left,6,19,0.286,0.959,-8.611,1,0.0123,0.368,145.98
Jacob's Ladder - Live In The UK / 1980,Exit ... Stage Left,7,20,0.344,0.669,-11.194,1,0.192,0.147,120.083
Broon's Bane,Exit ... Stage Left,8,22,0.338,0.143,-24.002,0,0.776,0.324,137.473
The Trees - Live In Canada / 1980,Exit ... Stage Left,9,22,0.276,0.849,-9.883,1,0.195,0.156,142.179
Xanadu - Live In Canada / 1980,Exit ... Stage Left,10,23,0.296,0.677,-10.202,1,0.00878,0.152,126.027
Freewill - Live In Canada / 1980,Exit ... Stage Left,11,20,0.27,0.945,-8.843,1,0.0609,0.39,155.575
Tom Sawyer - Live In Canada / 1980,Exit ... Stage Left,12,20,0.294,0.849,-9.764,1,0.0193,0.425,88.832
La Villa Strangiato - Live In Canada / 1980,Exit ... Stage Left,13,22,0.291,0.733,-12.465,1,0.737,0.202,142.233
The Spirit Of Radio - Live In Canada / 1980,Exit ... Stage Left,1,25,0.331,0.924,-10.156,1,0.0191,0.471,135.44
Red Barchetta - Live In Canada / 1980,Exit ... Stage Left,2,24,0.346,0.904,-8.753,1,0.000425,0.263,142.226
YYZ - Live In Canada / 1980,Exit ... Stage Left,3,25,0.334,0.911,-12.017,0,0.809,0.278,145.905
A Passage To Bangkok - Live In The UK / 1980,Exit ... Stage Left,4,23,0.301,0.875,-8.533,1,0.00348,0.391,99.99
Closer To The Heart - Live In The UK / 1980,Exit ... Stage Left,5,23,0.264,0.839,-9.329,1,0.281,0.528,139.164
"Beneath, Between & Behind - LIve In The UK / 1980",Exit ... Stage Left,6,21,0.351,0.957,-8.588,1,0.0432,0.44,110.365
Jacob's Ladder - Live In The UK / 1980,Exit ... Stage Left,7,23,0.343,0.668,-11.175,1,0.149,0.151,119.664
Broon's Bane,Exit ... Stage Left,8,23,0.33,0.155,-24.031,0,0.838,0.316,138.069
The Trees - Live In Canada / 1980,Exit ... Stage Left,9,23,0.273,0.857,-9.861,1,0.291,0.138,142.258
Xanadu - Live In Canada / 1980,Exit ... Stage Left,10,24,0.295,0.664,-10.226,1,0.00961,0.143,127.204
Freewill - Live In Canada / 1980,Exit ... Stage Left,11,21,0.268,0.948,-8.927,1,0.0416,0.443,155.565
Tom Sawyer - Live In Canada / 1980,Exit ... Stage Left,12,23,0.309,0.856,-9.729,1,0.0188,0.402,87.558
La Villa Strangiato - Live In Canada / 1980,Exit ... Stage Left,13,23,0.292,0.753,-12.473,1,0.641,0.172,141.912
Tom Sawyer,Moving Pictures (2011 Remaster),1,72,0.536,0.901,-7.211,1,0.0186,0.666,87.559
Red Barchetta,Moving Pictures (2011 Remaster),2,53,0.528,0.921,-7.64,1,0.000186,0.298,144.368
YYZ,Moving Pictures (2011 Remaster),3,56,0.51,0.919,-8.244,1,0.809,0.386,141.053
Limelight,Moving Pictures (2011 Remaster),4,66,0.581,0.854,-8.485,0,0.0013,0.788,131.18
The Camera Eye,Moving Pictures (2011 Remaster),5,46,0.293,0.787,-8.841,1,0.496,0.139,165.307
Witch Hunt,Moving Pictures (2011 Remaster),6,41,0.528,0.557,-10.342,0,0.0156,0.357,121.732
Vital Signs,Moving Pictures (2011 Remaster),7,48,0.603,0.851,-8.574,0,1.71e-05,0.627,143.218
The Spirit Of Radio,Permanent Waves,1,65,0.365,0.924,-7.066,1,0.000254,0.632,135.811
Freewill,Permanent Waves,2,55,0.485,0.935,-7.005,1,3.89e-05,0.68,155.61
Jacob's Ladder,Permanent Waves,3,41,0.387,0.623,-8.812,1,0.111,0.138,120.705
Entre Nous,Permanent Waves,4,41,0.585,0.737,-7.474,1,1.48e-06,0.629,126.62
Different Strings,Permanent Waves,5,41,0.748,0.394,-10.35,1,2.95e-05,0.255,126.741
Natural Science,Permanent Waves,6,40,0.412,0.821,-9.453,1,0.00095,0.316,130.997
Cygnus X-1 Book II: Hemispheres,Hemispheres,1,39,0.367,0.657,-8.979,1,7.69e-05,0.194,133.617
Circumstances,Hemispheres,2,42,0.421,0.82,-8.055,1,1.18e-05,0.661,125.191
The Trees,Hemispheres,3,48,0.445,0.721,-10.048,1,0.00404,0.328,135.742
La Villa Strangiato,Hemispheres,4,52,0.366,0.606,-10.274,1,0.58,0.137,143.183
A Farewell To Kings,A Farewell To Kings,1,42,0.422,0.654,-7.401,1,0.000199,0.232,130.845
Xanadu,A Farewell To Kings,2,46,0.316,0.529,-9.067,0,0.00229,0.0456,140.785
Closer To The Heart,A Farewell To Kings,3,61,0.373,0.809,-9.189,1,1.94e-06,0.539,145.045
Cinderella Man,A Farewell To Kings,4,38,0.511,0.869,-8.174,1,2.68e-06,0.569,119.874
Madrigal,A Farewell To Kings,5,38,0.496,0.242,-13.944,1,8.53e-05,0.451,94.366
Cygnus X-1 - Book One - The Voyage,A Farewell To Kings,6,38,0.397,0.613,-9.82,0,0.0102,0.0686,124.476
Bastille Day - Live,All The World's A Stage,1,23,0.247,0.786,-7.954,1,0.000703,0.644,101.238
Anthem - Live,All The World's A Stage,2,22,0.233,0.921,-7.941,1,0.00178,0.435,137.147
"Fly By Night / In The Mood - Live At Massey Hall, Toronto / 1976",All The World's A Stage,3,22,0.341,0.933,-6.716,1,1.12e-05,0.59,134.808
Something For Nothing - Live,All The World's A Stage,4,20,0.297,0.824,-7.941,1,0.00079,0.565,141.202
"Lakeside Park - Live At Massey Hall, Toronto / 1976",All The World's A Stage,5,20,0.349,0.752,-9.435,1,0.00942,0.436,92.685
2112 - Live,All The World's A Stage,6,24,0.264,0.816,-8.55,1,0.0171,0.271,135.642
By-Tor And The Snow Dog - Live,All The World's A Stage,7,20,0.192,0.892,-8.851,1,0.514,0.0838,150.369
In The End - Live,All The World's A Stage,8,21,0.272,0.664,-8.776,1,0.0244,0.208,134.301
"Working Man/Finding My Way - Live At Massey Hall, Toronto / 1976",All The World's A Stage,9,22,0.317,0.95,-9.453,1,0.0822,0.12,145.094
"What You're Doing - Live At Massey Hall, Toronto / 1976",All The World's A Stage,10,18,0.308,0.935,-7.792,1,0.00822,0.449,90.855
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,2112,1,47,0.344,0.79,-7.456,1,0.0017,0.202,133.186
A Passage To Bangkok,2112,2,52,0.222,0.837,-6.49,1,6.21e-05,0.594,200.342
The Twilight Zone,2112,3,38,0.56,0.604,-7.988,0,5.19e-06,0.755,114.909
Lessons,2112,4,37,0.578,0.856,-6.613,1,0.000687,0.512,112.883
Tears,2112,5,34,0.4,0.227,-13.88,0,0.0268,0.0645,80.999
Something For Nothing,2112,6,40,0.368,0.658,-7.678,1,0.0,0.64,140.989
Overture - Live,2112,7,28,0.202,0.92,-7.737,0,0.58,0.33,135.096
The Temples Of Syrinx - Live,2112,8,28,0.27,0.966,-6.098,1,2.59e-05,0.387,133.197
A Passage To Bangkok - Live,2112,9,26,0.293,0.942,-6.375,0,0.0289,0.358,99.804
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,2112 (Remastered),1,44,0.342,0.781,-7.899,1,0.00191,0.197,135.198
A Passage To Bangkok,2112 (Remastered),2,37,0.401,0.825,-6.488,1,5.52e-05,0.578,99.304
The Twilight Zone,2112 (Remastered),3,33,0.563,0.594,-8.433,0,6.43e-06,0.773,114.877
Lessons,2112 (Remastered),4,31,0.578,0.856,-6.613,1,0.000687,0.512,112.883
Tears,2112 (Remastered),5,31,0.4,0.227,-13.88,0,0.0268,0.0645,80.999
Something For Nothing,2112 (Remastered),6,32,0.368,0.658,-7.678,1,0.0,0.64,140.989
Bastille Day,Caress Of Steel,1,41,0.414,0.737,-8.662,1,0.00172,0.75,100.12
I Think I'm Going Bald,Caress Of Steel,2,30,0.413,0.748,-8.064,0,0.0017,0.647,130.322
Lakeside Park - Live,Caress Of Steel,3,35,0.5,0.611,-11.639,1,0.000565,0.396,94.993
The Necromancer,Caress Of Steel,4,34,0.385,0.554,-9.969,1,0.00834,0.496,113.646
The Fountain Of Lamneth,Caress Of Steel,5,31,0.489,0.444,-12.461,1,0.000257,0.168,114.696
Anthem,Fly By Night,1,49,0.333,0.919,-8.124,1,0.328,0.594,139.298
Best I Can,Fly By Night,2,36,0.545,0.849,-8.639,1,0.418,0.839,142.012
"Beneath, Between & Behind",Fly By Night,3,36,0.484,0.854,-8.142,1,0.000128,0.669,113.201
By-Tor And The Snow Dog,Fly By Night,4,33,0.317,0.698,-10.214,1,0.283,0.334,162.132
Fly By Night,Fly By Night,5,60,0.501,0.702,-8.543,1,0.000994,0.58,139.095
Making Memories,Fly By Night,6,35,0.644,0.701,-10.085,1,0.00529,0.716,111.193
Rivendell,Fly By Night,7,34,0.376,0.0333,-23.826,1,0.264,0.136,162.591
In The End,Fly By Night,8,35,0.321,0.56,-10.704,1,0.159,0.214,168.357
Finding My Way,Rush,1,43,0.316,0.795,-8.97,1,0.0797,0.504,140.955
Need Some Love,Rush,2,35,0.516,0.922,-7.764,1,4.18e-05,0.882,99.93
Take A Friend,Rush,3,34,0.421,0.835,-9.415,1,0.00024,0.739,93.837
Here Again,Rush,4,43,0.471,0.493,-10.465,1,0.0263,0.537,96.786
What You're Doing,Rush,5,37,0.436,0.826,-9.457,0,0.00572,0.56,99.106
In The Mood,Rush,6,39,0.597,0.821,-9.53,1,0.0,0.836,131.754
Before And After,Rush,7,32,0.32,0.773,-9.553,1,0.0188,0.169,100.829
Working Man,Rush,8,60,0.202,0.835,-11.04,1,0.0388,0.661,156.883
